jumlah_dosen,univ_name
9,Akademi Kebidanan Harapan Mama Deli Serdang
12,Akademi Keperawatan Darmo Medan
0,Akademi Keperawatan Imelda Medan
1,Akademi Kebidanan YYS Pendidikan Dr Rusdi Medan
0,Akademi Kebidanan Mitra Husada Medan
6,Akademi Kebidanan Hafsyah Medan
10,Akademi Kebidanan Ika Bina Labuhan Batu
6,Akademi Kebidanan Budi Mulia 
11,Akademi Kebidanan Sehati
3,Akademi Kebidanan Kesehatan Baru
0,Akademi Keperawatan Rumah Sakit Haji Medan
11,AKPER Gita Matura Abadi Kisaran
0,Akademi Keperawatan Flora
0,AMIK Harapan Medan
15,Akademik Kebidanan Armina Centre Panyabungan
21,Akademi Kebidanan Matorkis
7,Akademi Keuangan Dan Perbankan ICM Cantrika Mitra
7,Akademi Kebidanan Takasima Kabanjahe
13,Akademi Kebidanan Mitra Syuhada Padangsidimpuan
18,Akademi Kebidanan Namira Madina Panyabungan
12,Akademi Kebidanan Darmais Padangsidimpuan
7,Akademi Kebidanan Madina Husada
7,Akademi Kebidanan Ibtisam Aulia
5,Akademi Kebidanan Bina Daya Husada
10,Akademi Kebidanan Delima 
13,Akademi Kebidanan Baruna Husada Sibuhuan
5,Akademi Kebidanan Eunice Rajawali Binjai
14,Akademi Kebidanan As-Syifa Kisaran
13,Akademi Kebidanan Harapan Keluarga
6,Akademi Kebidanan Sari Husada
0,Akademi Akuntansi Profesional Indonesia
7,Akademi Keperawatan Arta Kaban Jahe
11,AKPER Tenaga Pembangunan Arjuna Laguboti
7,Akademi Kebidanan Palapa Husada
14,Akademi Perekam Medik Dan Infokes Imelda
7,Akademi Keperawatan Harapan Mama Deli Serdang
6,Akademi Kebidanan Paluta Husada
5,Akademi Keperawatan Columbia Asia
8,Akademi Keperawatan Bina Husada Tebing Tinggi
12,Akademi Keperawatan Sehat Binjai
13,Akademi Keperawatan Malahayati Medan
14,Akademi Kebidanan Kharisma Husada Binjai
5,Akademi Kebidanan Sifra Husada
13,Akademi Manajemen Informatika dan Komputer Imelda
5,Akademi Keperawatan Takasima Kabanjahe
10,Akademi Kebidanan Audi Husada Medan
12,Akademi Keperawatan RSU Herna
0,Akademi Fisioterapi Siti Hajar Medan
0,Akademi Kebidanan Bina Sejahtera Ameta
6,Akademi Keperawatan Abdi Florensia
11,Akademi Keperawatan Kesdam I/Bukit Barisan Pematang Siantar
9,Akademi Keperawatan Kesdam I/Bukit Barisan Binjai
15,Akademi Keperawatan Kesdam I/Bukit Barisan Medan
6,Akademi Farmasi Yayasan Tenaga Pembangunan Arjuna Laguboti
6,Akademi Keperawatan Sari Mutiara Medan
0,Akademi Analis Kesehatan Sari Mutiara 
0,Akademi Analis Farmasi dan Makanan Sari Mutiara  (alih  bina
0,Akademi Keperawatan Syuhada Padangsidempuan
3,Akademi Keperawatan HKBP Balige
5,Akademi Keperawatan Wirahusada Medan 
11,Akademi Kebidanan Deli Husada Delitua Medan
9,Akademi Keperawatan Deli Husada Delitua Medan
5,Akademi Keperawatan Medistra Lubuk Pakam 
7,Akademi Kebidanan Medistra Lubuk Pakam
3,Akademi Keperawatan Bas Balimbingan Pematang Siantar
1,ATRO Yayasan Amal Bhakti Medan
13,Akademi Pendidikan Kesehatan Talitakum
5,Akademi Keperawatan RSU Hisarma Medan
0,Politeknik Informatika Del Toba Samosir
48,Politeknik Unggul LP3M
32,Politeknik Ganesha
46,Politeknik Mandiri Bina Prestasi
18,Politeknik Profesional Mandiri
43,Politeknik Poliprofesi Medan
78,Politeknik LP3I Medan
23,Politeknik Tugu  45 Medan
28,Politeknik Santo Thomas
30,Politeknik Trijaya Krama
8,Politeknik Yanada
18,Politeknik Tanjungbalai
30,Politeknik Kesehatan YRSU Dr Rusdi
40,Politeknik IT&B Medan
22,Politeknik Bisnis Indonesia
0,Politeknik Gihon
25,Politeknik Wilmar Bisnis Indonesia
402,Universitas Muhammadiyah Palembang
60,Universitas Muhammadiyah Lampung
